ID,Athlete_ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
239854,120194,orsteinn orsteinsson,M,25,NA,NA,Iceland,ISL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

77281,39212,Manuel Carlos Gayoso Daz,M,28,175,67,Spain,ESP,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,NA

99358,50294,Evert Hoving,M,23,187,70,Netherlands,NED,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

42620,21987,Francis James Frank' Clement',M,24,180,66,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

110669,55972,Wilnor Joseph,M,33,173,62,Haiti,HAI,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

179487,90192,Stephen Michael John Steve' Ovett',M,20,183,70,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

111017,56170,Alberto Juantorena Danger,M,25,190,84,Cuba,CUB,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,Gold

187983,94439,Marcel Philippe,M,24,178,68,France,FRA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

91673,46455,Gnther Hasler,M,25,180,70,Liechtenstein,LIE,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

178355,89656,Niall O'Shaughnessy,M,20,169,59,Ireland,IRL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

178234,89588,Jorge L. Ortz,M,21,175,66,Puerto Rico,PUR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

42115,21720,Leandro Flix Civil Jarvis,M,28,173,60,Cuba,CUB,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

87562,44390,Rolf Gysin,M,24,180,62,Switzerland,SUI,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

84756,43014,Carlo Grippo,M,21,180,65,Italy,ITA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

170333,85586,Seymour Newman,M,23,188,73,Jamaica,JAM,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

83966,42671,Orlando Greene,M,23,171,63,Barbados,BAR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

81344,41291,Erasmo Gmez,M,25,168,65,Nicaragua,NCA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

78529,39855,Marian Gsicki,M,23,178,71,Poland,POL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

147950,74245,Fernando Eugnio Pacheco Mamede,M,23,174,58,Portugal,POR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

148932,74705,Jos Marajo,M,21,177,62,France,FRA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

155519,78072,Luis Medina Montoya,M,24,176,63,Cuba,CUB,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

63903,32746,Mark Bruce Enyeart,M,22,183,70,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

3654,2094,Attiya Shumrani Al-Qahtani,M,23,174,69,Saudi Arabia,KSA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

263506,131857,Wilhelm Willi' Wlbeck',M,21,186,69,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

262275,131230,Richard Charles Rick' Wohlhuter',M,27,175,60,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,Bronze

259200,129761,Thomas Wessinghage,M,24,181,68,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

201982,101444,James Junior Robinson, Jr.,M,21,180,67,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

258696,129521,Paul-Heinz Wellmann,M,24,182,70,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

209591,105244,Roqui Sanchez,M,23,173,66,France,FRA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

255878,128112,John George Walker,M,24,183,74,New Zealand,NZL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

211561,106237,Milovan Savi,M,23,192,72,Yugoslavia,YUG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

189790,95324,Jozef Plach,M,27,182,73,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

248162,124241,Ivo Van Damme,M,22,191,76,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,Silver

244779,122551,Horace Clyde Tuitt,M,22,185,68,Trinidad and Tobago,TTO,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

13483,7313,Andrs Ballb Garca,M,23,181,65,Spain,ESP,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

221192,111149,Sri Ram Singh Shekhawat,M,26,178,63,India,IND,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

8031,4443,Viktor Fyodorovich Anokhin,M,25,188,81,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

233112,116931,Per ke Bertil Svenson,M,23,185,73,Sweden,SWE,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

232573,116658,Luciano Suanj,M,27,185,73,Yugoslavia,YUG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

224806,112926,Juan Francisco Solis Manrques,M,18,175,56,Dominican Republic,DOM,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

26681,13888,Roy Bottse,M,25,190,74,Suriname,SUR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

191240,96040,Vladimir Ivanovich Ponomaryov,M,23,188,72,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

268493,134317,Jnos Zemen,M,25,173,65,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

266345,133246,Muhammad Younis,M,27,175,70,Pakistan,PAK,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,NA

86290,43736,Agberto Joo Conceio Guimares,M,22,175,57,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

257198,128790,David Marlais Jenner Dave' Warren',M,24,185,73,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

120008,60756,Nikolay Ivanovich Kirov,M,22,176,63,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,Bronze

147149,73855,Mohamed Makhlouf,M,22,NA,NA,Syria,SYR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

211562,106237,Milovan Savi,M,27,192,72,Yugoslavia,YUG,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

10395,5693,Adam Assimi,M,NA,NA,NA,Benin,BEN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

242794,121595,Colomn Trabado Prez,M,22,182,71,Spain,ESP,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

221193,111149,Sri Ram Singh Shekhawat,M,30,178,63,India,IND,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

166517,83642,Archfell Musango,M,21,176,69,Zambia,ZAM,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

56311,28845,Jn Diriksson,M,25,194,79,Iceland,ISL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

159006,79815,Roger Milhau,M,25,175,69,France,FRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

21101,11142,Olaf Beyer,M,22,186,69,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

17858,9489,Nigusse Bekele,M,20,185,55,Ethiopia,ETH,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

164991,82858,Langa Mudongo,M,25,180,66,Botswana,BOT,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

255385,127858,Detlef Wagenknecht,M,21,193,74,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

84757,43014,Carlo Grippo,M,25,180,65,Italy,ITA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

28172,14606,George Branche,M,27,175,63,Sierra Leone,SLE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

123042,62187,Binko Ganev Kolev,M,21,178,63,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

180132,90522,Antonio Pez Montero,M,23,182,74,Spain,ESP,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

143858,72211,Musa Luliga,M,25,182,66,Tanzania,TAN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

62617,32078,Mohamed Salem El-Margini,M,NA,168,63,Libya,LBA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

115863,58685,Sahr Kendor,M,17,172,52,Sierra Leone,SLE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

34125,17579,Sekou Camara,M,NA,175,67,Guinea,GUI,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

148933,74705,Jos Marajo,M,25,177,62,France,FRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

188157,94520,Vongdeuane Phongsavanh,M,23,167,60,Laos,LAO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

263606,131904,William Wuycke,M,22,173,63,Venezuela,VEN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,NA

